新闻综合,rtp://239.45.3.209:5140
东方卫视,rtp://239.45.3.146:5140
东方卫视,rtp://239.45.3.61:5140
都市剧场,rtp://239.45.3.136:5140
都市频道,rtp://239.45.3.236:5140
生活时尚,rtp://239.45.3.132:5140
欢笑剧场4k,rtp://239.45.1.4:5140
欢笑剧场,rtp://239.45.3.196:5140
东方影视,rtp://239.45.3.237:5140
纪实人文,rtp://239.45.3.212:5140
金鹰纪实,rtp://239.45.1.45:5140
纪实科教,rtp://239.45.1.14:5140
外语频道,rtp://239.45.1.127:5140
五星体育,rtp://239.45.3.210:5140
BesTV,rtp://239.45.3.157:5140
第一财经,rtp://239.45.3.211:5140
东方财经,rtp://239.45.0.17:5140
家庭理财SD,rtp://239.45.0.14:5140
法制天地,rtp://239.45.1.46:5140
上海教育,rtp://239.45.0.13:5140
上海教育SD,rtp://239.45.3.252:5140
金鹰卡通,rtp://239.45.0.38:5140
金鹰卡通,rtp://239.45.3.233:5140
哈哈炫动,rtp://239.45.1.55:5140
动漫秀场,rtp://239.45.3.134:5140
嘉佳卡通SD,rtp://239.45.1.48:5140
金色学堂,rtp://239.45.0.9:5140
卡酷少儿,rtp://239.45.0.8:5140
乐游,rtp://239.45.3.135:5140
茶频道,rtp://239.45.3.18:5140
嘉定电视SD,rtp://239.45.3.185:5140
快乐垂钓,rtp://239.45.3.12:5140
七彩戏剧,rtp://239.45.0.16:5140
先锋乒羽SD,rtp://239.45.3.43:5140
游戏风云,rtp://239.45.3.131:5140
未知频道,rtp://239.45.3.103:5140
防疫宣传,rtp://239.45.3.235:5140
养生频道,rtp://239.45.1.28:5140
BesTV百视通电影,rtp://239.45.1.15:5140
BesTV百视通电影,rtp://239.45.3.240:5140
BesTV4k测试,rtp://239.45.1.108:5140
BesTV4k动画,rtp://239.45.1.11:5140
BesTV4k动画,rtp://239.45.1.1:5140
BesTV4k电影,rtp://239.45.3.107:5140
BesTV4k电影,rtp://239.45.1.42:5140
BesTV4k电影,rtp://239.45.1.9:5140
BesTV4k记录,rtp://239.45.1.10:5140
BesTV,rtp://239.45.3.137:5140
BesTV,rtp://239.45.3.216:5140
BesTV,rtp://239.45.3.138:5140
BesTV,rtp://239.45.3.54:5140
BesTV,rtp://239.45.3.55:5140
CCTV1,rtp://239.45.3.88:5140
BesTV,rtp://239.45.3.215:5140
BesTV,rtp://239.45.3.140:5140
BesTV,rtp://239.45.3.53:5140
BesTV,rtp://239.45.3.139:5140
无名频道,rtp://239.45.1.8:5140
CCTV1,rtp://239.45.3.145:5140
CCTV1,rtp://239.45.3.51:5140
CCTV2,rtp://239.45.3.208:5140
CCTV2,rtp://239.45.0.1:5140
CCTV3,rtp://239.45.1.68:5140
CCTV4,rtp://239.45.0.2:5140
CCTV5,rtp://239.45.1.69:5140
CCTV5+,rtp://239.45.0.34:5140
CCTV6,rtp://239.45.1.70:5140
CCTV7,rtp://239.45.3.56:5140
CCTV8,rtp://239.45.1.71:5140
CCTV9,rtp://239.45.3.4:5140
CCTV10,rtp://239.45.3.8:5140
CCTV11,rtp://239.45.0.18:5140
CCTV12,rtp://239.45.3.124:5140
CCTV12,rtp://239.45.3.10:5140
CCTV13,rtp://239.45.0.19:5140
CCTV14,rtp://239.45.3.125:5140
CCTV14,rtp://239.45.3.23:5140
CCTV15,rtp://239.45.3.126:5140
CCTV15,rtp://239.45.0.20:5140
CCTV16,rtp://239.45.0.10:5140
CCTV16,rtp://239.45.0.12:5140
CCTV17,rtp://239.45.3.251:5140
CCTV17,rtp://239.45.3.52:5140
CGTN,rtp://239.45.1.194:5140
中国天气,rtp://239.45.1.47:5140
CHC家庭,rtp://239.45.1.22:5140
CHC家庭,rtp://239.45.0.40:5140
CHC动作,rtp://239.45.0.41:5140
CHC高清,rtp://239.45.0.42:5140
CCTV4k超高清,rtp://239.45.0.55:5140
CCTV电视指南,rtp://239.45.1.73:5140
CCTV风云足球,rtp://239.45.0.43:5140
CCTV风云足球,rtp://239.45.1.75:5140
CCTV央视台球,rtp://239.45.0.44:5140
CCTV兵器科技,rtp://239.45.0.45:5140
CCTV兵器科技,rtp://239.45.1.74:5140
CCTV世界地理,rtp://239.45.0.46:5140
CCTV女性时尚,rtp://239.45.0.47:5140
CCTV高网,rtp://239.45.0.48:5140
CCTV高网,rtp://239.45.1.72:5140
CCTV怀旧剧场,rtp://239.45.0.49:5140
CCTV风云剧场,rtp://239.45.0.50:5140
CCTV第一剧场,rtp://239.45.0.51:5140
CCTV风云音乐,rtp://239.45.0.52:5140
CCTV文化精品,rtp://239.45.0.53:5140
CCTV文化精品,rtp://239.45.1.17:5140
CETV早期教育,rtp://239.45.0.54:5140
CETV1,rtp://239.45.1.125:5140
CETV2sd,rtp://239.45.1.52:5140
CETV4,rtp://239.45.0.21:5140
CETV4,rtp://239.45.1.243:5140
安徽卫视,rtp://239.45.3.143:5140
安徽卫视,rtp://239.45.1.120:5140
北京卫视,rtp://239.45.3.229:5140
兵团卫视,rtp://239.45.1.117:5140
东南卫视,rtp://239.45.1.121:5140
甘肃卫视,rtp://239.45.0.15:5140
广东卫视,rtp://239.45.3.230:5140
广西卫视,rtp://239.45.0.5:5140
贵州卫视,rtp://239.45.1.80:5140
海南卫视,rtp://239.45.1.81:5140
河北卫视,rtp://239.45.1.44:5140
河南卫视,rtp://239.45.0.3:5140
黑龙江卫视,rtp://239.45.3.232:5140
湖北卫视,rtp://239.45.3.239:5140
湖南卫视,rtp://239.45.3.228:5140
吉林卫视,rtp://239.45.0.6:5140
江苏卫视,rtp://239.45.3.177:5140
江西卫视,rtp://239.45.1.122:5140
康巴卫视,rtp://239.45.1.251:5140
辽宁卫视,rtp://239.45.1.123:5140
内蒙古卫视,rtp://239.45.1.238:5140
宁夏卫视,rtp://239.45.1.213:5140
青海卫视,rtp://239.45.0.37:5140
山东卫视,rtp://239.45.3.238:5140
山西卫视,rtp://239.45.1.229:5140
陕西卫视,rtp://239.45.1.232:5140
深圳卫视,rtp://239.45.3.231:5140
云南卫视,rtp://239.45.0.4:5140
浙江卫视,rtp://239.45.3.178:5140
重庆卫视,rtp://239.45.1.84:5140
天津卫视,rtp://239.45.1.124:5140
新疆卫视,rtp://239.45.1.116:5140
西藏卫视,rtp://239.45.1.231:5140
四川卫视,rtp://239.45.1.83:5140
三沙卫视,rtp://239.45.0.56:5140
延边卫视,rtp://239.45.0.39:5140

新闻综合SD,/239.45.3.241:5140
东方卫视SD,/239.45.3.242:5140
东方影视SD,/239.45.3.245:5140
都市频道SD,/239.45.3.243:5140
ICS SD,/239.45.3.249:5140
五星体育SD,/239.45.3.112:5140
纪实人文SD,/239.45.3.247:5140
法治天地SD,/239.45.1.192:5140
财富天下SD,/239.45.0.7:5140
第1财经SD,/239.45.3.111:5140
金色学堂SD,/239.45.1.118:5140
金鹰卡通SD,/239.45.3.119:5140
卡酷少儿SD,/239.45.1.49:5140
游戏风云SD,/239.45.3.64:5140
哈哈炫动SD,/239.45.3.187:5140
未知频道[0*0],/239.45.1.107:5140
未知频道[0*0],/239.45.1.109:5140
未知频道SD,/239.45.3.81:5140
无名频道SD,/239.45.3.9:5140

CCTV1 SD,/239.45.3.188:5140
CCTV2 SD,/239.45.3.189:5140
CCTV3 SD,/239.45.3.27:5140
CCTV3 SD,/239.45.3.113:5140
CCTV4 SD,/239.45.3.190:5140
CCTV5 SD,/239.45.3.29:5140
CCTV5 SD,/239.45.3.114:5140
CCTV6 SD,/239.45.3.30:5140
CCTV6 SD,/239.45.3.115:5140
CCTV7 SD,/239.45.1.193:5140
CCTV8 SD,/239.45.1.113:5140
CCTV8 SD,/239.45.3.32:5140
CCTV9 SD,/239.45.3.2:5140
CCTV10 SD,/239.45.1.195:5140
CCTV11 SD,/239.45.1.196:5140
CCTV12 SD,/239.45.1.197:5140
CCTV13 SD,/239.45.1.198:5140
CCTV14 SD,/239.45.1.199:5140
CCTV15 SD,/239.45.1.200:5140
CCTV17 SD,/239.45.3.1:5140
CETV1 SD,/239.45.1.51:5140
CETV4 SD,/239.45.1.50:5140

安徽卫视SD,/239.45.1.223:5140
北京卫视SD,/239.45.1.214:5140
东南卫视SD,/239.45.1.224:5140
甘肃卫视SD,/239.45.1.234:5140
广东卫视SD,/239.45.1.235:5140
广西卫视SD,/239.45.1.219:5140
贵州卫视SD,/239.45.1.241:5140
海南卫视SD,/239.45.1.218:5140
河北卫视SD,/239.45.1.237:5140
河南卫视SD,/239.45.1.242:5140
黑龙江卫视SD,/239.45.1.236:5140
湖北卫视SD,/239.45.1.239:5140
湖南卫视SD,/239.45.1.215:5140
吉林卫视SD,/239.45.1.228:5140
江苏卫视SD,/239.45.1.216:5140
江西卫视SD,/239.45.1.227:5140
辽宁卫视SD,/239.45.1.222:5140
青海卫视SD,/239.45.1.230:5140
山东卫视SD,/239.45.1.221:5140
深圳卫视SD,/239.45.1.115:5140
四川卫视SD,/239.45.1.220:5140
天津卫视SD,/239.45.1.226:5140
云南卫视SD,/239.45.1.233:5140
浙江卫视SD,/239.45.1.217:5140
重庆卫视SD,/239.45.1.240:5140
内蒙古卫视SD,/239.45.1.21:5140
