ChannelID,ChannelName,UserChannelID,ChannelURL,TimeShift,TimeShiftLength,ChannelSDP,TimeShiftURL,ChannelType,IsHDChannel,PreviewEnable,ChannelPurchased,ChannelLocked,ChannelLogURL,PositionX,PositionY,BeginTime,Interval,Lasting,ActionType,FCCEnable,ChannelFCCIP,ChannelFCCPort,ChannelFECPort
"20000072","新闻综合HD","1","rtp://238.200.200.130:5540","1","7200","rtp://238.200.200.130:5540","http://10.223.3.189/PLTV/88888888/224/3221225701/10000100000000060000000000013592_0.smil/index.m3u8?fmt=ts2hls&rrsip=10.223.5.36&zoneoffset=480&servicetype=2&icpid=shlt&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7EjXi_dEHZJrb4BhWXybu2mg%7E-NRBKqJPdnxqADZD8VbpoXil9ZAXP3uL2btehsePHQeGS4Hhhp6qJvqmc86pQJE0wWVIDsWGWl6v-MbUP27Am9WWWcOCr-jhz3292vq00eA%7EExtInfo24S_eFPZ-q3aI4rQpB83xQ%3A20250507053245%2C10500002582512%2C223.167.150.80%2C20250507053245%2CUmai%3ACHAN%2F1346060%40BESTV.SMG.SMG%2C10001000243847%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C10000100000000060000000000013592_0%2CEND&VIP=null","1","1","1","1","0","","","","0","","","1","3","","","5539"
"20000073","东方卫视HD","2","rtp://238.200.200.125:5540","1","7200","rtp://238.200.200.125:5540","http://10.223.3.189/PLTV/88888888/224/3221225699/10000100000000060000000000013594_0.smil/index.m3u8?fmt=ts2hls&rrsip=10.223.5.36&zoneoffset=480&servicetype=2&icpid=shlt&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7ExdGburiPn7SkpFEqvhsNPw%7E-NRBKqJPdnxqADZD8VbpoXil9ZAXP3uL2btehsePHQeGS4Hhhp6qJvqmc86pQJE0wWVIDsWGWl6v-MbUP27Am9WWWcOCr-jhz3292vq00eA%7EExtInfo24S_eFPZ-q3aI4rQpB83xQ%3A20250507053245%2C10500002582512%2C223.167.150.80%2C20250507053245%2CUmai%3ACHAN%2F111131%40BESTV.SMG.SMG%2C10001000243847%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C10000100000000060000000000013594_0%2CEND&VIP=null","1","1","1","1","0","","","","0","","","1","3","","","5539"
"20000071","都市频道HD","3","rtp://238.200.200.127:5540","1","7200","rtp://238.200.200.127:5540","http://10.223.3.189/PLTV/88888888/224/3221225700/10000100000000060000000000013593_0.smil/index.m3u8?fmt=ts2hls&rrsip=10.223.5.36&zoneoffset=480&servicetype=2&icpid=shlt&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7EsBsLLOng8t96gI8vQw6JUw%7E-NRBKqJPdnxqADZD8VbpoXil9ZAXP3uL2btehsePHQeGS4Hhhp6qJvqmc86pQJE0wWVIDsWGWl6v-MbUP27Am9WWWcOCr-jhz3292vq00eA%7EExtInfo24S_eFPZ-q3aI4rQpB83xQ%3A20250507053245%2C10500002582512%2C223.167.150.80%2C20250507053245%2CUmai%3ACHAN%2F990914%40BESTV.SMG.SMG%2C10001000243847%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C10000100000000060000000000013593_0%2CEND&VIP=null","1","1","1","1","0","","","","0","","","1","3","","","5539"
"20000068","东方影视HD","5","rtp://238.200.200.128:5540","1","7200","rtp://238.200.200.128:5540","http://10.223.3.189/PLTV/88888888/224/3221225690/10000100000000060000000000012476_0.smil/index.m3u8?fmt=ts2hls&rrsip=10.223.5.36&zoneoffset=480&servicetype=2&icpid=shlt&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7EE4ZfeyZ9u9gPGjm42WuPXg%7E-NRBKqJPdnxqADZD8VbpoXil9ZAXP3uL2btehsePHQeGS4Hhhp6qJvqmc86pQJE0wWVIDsWGWl6v-MbUP27Am9WWWcOCr-jhz3292vq00eA%7EExtInfo24S_eFPZ-q3aI4rQpB83xQ%3A20250507053245%2C10500002582512%2C223.167.150.80%2C20250507053245%2CUmai%3ACHAN%2F990915%40BESTV.SMG.SMG%2C10001000243847%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C10000100000000060000000000012476_0%2CEND&VIP=null","1","1","1","1","0","","","","0","","","1","3","","","5539"
"20000032","第一财经HD","7","rtp://238.200.200.132:5540","1","7200","rtp://238.200.200.132:5540","http://10.223.3.189/PLTV/88888888/224/3221225688/10000100000000060000000000012477_0.smil/index.m3u8?fmt=ts2hls&rrsip=10.223.5.36&zoneoffset=480&servicetype=2&icpid=shlt&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7E64t_oYN7n767qI6DYcXy2g%7E-NRBKqJPdnxqADZD8VbpoXil9ZAXP3uL2btehsePHQeGS4Hhhp6qJvqmc86pQJE0wWVIDsWGWl6v-MbUP27Am9WWWcOCr-jhz3292vq00eA%7EExtInfo24S_eFPZ-q3aI4rQpB83xQ%3A20250507053245%2C10500002582512%2C223.167.150.80%2C20250507053245%2CUmai%3ACHAN%2F1346062%40BESTV.SMG.SMG%2C10001000243847%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C10000100000000060000000000012477_0%2CEND&VIP=null","1","1","1","1","0","","","","0","","","1","3","","","5539"
"20000005","五星体育HD","8","rtp://238.200.200.131:5540","1","7200","rtp://238.200.200.131:5540","http://10.223.3.189/PLTV/88888888/224/3221225689/10000100000000060000000000012789_0.smil/index.m3u8?fmt=ts2hls&rrsip=10.223.5.36&zoneoffset=480&servicetype=2&icpid=shlt&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7EdpuUb9HGE8ap11E88PP9ZQ%7E-NRBKqJPdnxqADZD8VbpoXil9ZAXP3uL2btehsePHQeGS4Hhhp6qJvqmc86pQJE0wWVIDsWGWl6v-MbUP27Am9WWWcOCr-jhz3292vq00eA%7EExtInfo24S_eFPZ-q3aI4rQpB83xQ%3A20250507053245%2C10500002582512%2C223.167.150.80%2C20250507053245%2CUmai%3ACHAN%2F1161091%40BESTV.SMG.SMG%2C10001000243847%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C10000100000000060000000000012789_0%2CEND&VIP=null","1","1","1","1","0","","","","0","","","1","3","","","5539"
"20000243","哈哈炫动HD","10","rtp://238.200.200.176:5540","1","7200","rtp://238.200.200.176:5540","http://10.223.3.189/PLTV/88888888/224/3221225855/10000100000000060000000001175042_0.smil/index.m3u8?fmt=ts2hls&rrsip=10.223.5.36&zoneoffset=480&servicetype=2&icpid=shlt&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7EL5B5ocFvtMozwwHRy3KkDw%7E-NRBKqJPdnxqADZD8VbpoXil9ZAXP3uL2btehsePHQeGS4Hhhp6qJvqmc86pQJE0wWVIDsWGWl6v-MbUP27Am9WWWcOCr-jhz3292vq00eA%7EExtInfo24S_eFPZ-q3aI4rQpB83xQ%3A20250507053245%2C10500002582512%2C223.167.150.80%2C20250507053245%2CUmai%3ACHAN%2F4641019%40BESTV.SMG.SMG%2C10001000243847%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C10000100000000060000000001175042_0%2CEND&VIP=null","1","1","0","1","0","","","","0","","","1","3","","","5539"
"20000161","东方购物-1HD","12","rtp://238.200.200.79:5540","1","7200","rtp://238.200.200.79:5540","http://10.223.3.189/PLTV/88888888/224/3221225816/10000100000000060000000001128677_0.smil/index.m3u8?fmt=ts2hls&rrsip=10.223.5.36&zoneoffset=480&servicetype=2&icpid=shlt&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7ENDUzUWLGUKSFNAQD2hVbCg%7E-NRBKqJPdnxqADZD8VbpoXil9ZAXP3uL2btehsePHQeGS4Hhhp6qJvqmc86pQJE0wWVIDsWGWl6v-MbUP27Am9WWWcOCr-jhz3292vq00eA%7EExtInfo24S_eFPZ-q3aI4rQpB83xQ%3A20250507053245%2C10500002582512%2C223.167.150.80%2C20250507053245%2CUmai%3ACHAN%2F1995522%40BESTV.SMG.SMG%2C10001000243847%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C10000100000000060000000001128677_0%2CEND&VIP=null","1","1","0","1","0","","","","0","","","1","3","","","5539"
"20000151","东方购物-2HD","13","rtp://238.200.200.7:5540","1","7200","rtp://238.200.200.7:5540","http://10.223.3.189/PLTV/88888888/224/3221225844/10000100000000060000000001128678_0.smil/index.m3u8?fmt=ts2hls&rrsip=10.223.5.36&zoneoffset=480&servicetype=2&icpid=shlt&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7EvdBXMbW9q4nSzqv5HZAXgQ%7E-NRBKqJPdnxqADZD8VbpoXil9ZAXP3uL2btehsePHQeGS4Hhhp6qJvqmc86pQJE0wWVIDsWGWl6v-MbUP27Am9WWWcOCr-jhz3292vq00eA%7EExtInfo24S_eFPZ-q3aI4rQpB83xQ%3A20250507053245%2C10500002582512%2C223.167.150.80%2C20250507053245%2CUmai%3ACHAN%2F1995523%40BESTV.SMG.SMG%2C10001000243847%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C10000100000000060000000001128678_0%2CEND&VIP=null","1","1","0","1","0","","","","0","","","1","3","","","5539"
"20000294","上海教育HD","16","rtp://238.200.200.187:5540","1","7200","rtp://238.200.200.187:5540","http://10.223.3.189/PLTV/88888888/224/3221225926/10000100000000060000000002015042_0.smil/index.m3u8?fmt=ts2hls&rrsip=10.223.5.36&zoneoffset=480&servicetype=2&icpid=shlt&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7EYMTtbAvDG458LuvapRESIw%7E-NRBKqJPdnxqADZD8VbpoXil9ZAXP3uL2btehsePHQeGS4Hhhp6qJvqmc86pQJE0wWVIDsWGWl6v-MbUP27Am9WWWcOCr-jhz3292vq00eA%7EExtInfo24S_eFPZ-q3aI4rQpB83xQ%3A20250507053245%2C10500002582512%2C223.167.150.80%2C20250507053245%2CUmai%3ACHAN%2F6000066%40BESTV.SMG.SMG%2C10001000243847%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C10000100000000060000000002015042_0%2CEND&VIP=null","1","1","0","1","0","","","","0","","","1","0","","","0"
"20000025","法治天地","18","rtp://238.200.200.109:5540","1","7200","rtp://238.200.200.109:5540","http://10.223.3.189/PLTV/88888888/224/3221225636/10000100000000060000000000012453_0.smil/index.m3u8?fmt=ts2hls&rrsip=10.223.5.36&zoneoffset=480&servicetype=2&icpid=shlt&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7EURCsDX5dukqn7uD2jyv5Cw%7E-NRBKqJPdnxqADZD8VbpoXil9ZAXP3uL2btehsePHQeGS4Hhhp6qJvqmc86pQJE0wWVIDsWGWl6v-MbUP27Am9WWWcOCr-jhz3292vq00eA%7EExtInfo24S_eFPZ-q3aI4rQpB83xQ%3A20250507053245%2C10500002582512%2C223.167.150.80%2C20250507053245%2CUmai%3ACHAN%2F1373%40BESTV.SMG.SMG%2C10001000243847%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C10000100000000060000000000012453_0%2CEND&VIP=null","1","1","1","1","0","","","","0","","","1","3","","","5539"
"20000242","金色学堂HD","20","rtp://238.200.200.10:5540","1","7200","rtp://238.200.200.10:5540","http://10.223.3.189/PLTV/88888888/224/3221225843/10000100000000060000000001128720_0.smil/index.m3u8?fmt=ts2hls&rrsip=10.223.5.36&zoneoffset=480&servicetype=2&icpid=shlt&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7E_w76tjg2izcEJGiQfVlnEA%7E-NRBKqJPdnxqADZD8VbpoXil9ZAXP3uL2btehsePHQeGS4Hhhp6qJvqmc86pQJE0wWVIDsWGWl6v-MbUP27Am9WWWcOCr-jhz3292vq00eA%7EExtInfo24S_eFPZ-q3aI4rQpB83xQ%3A20250507053245%2C10500002582512%2C223.167.150.80%2C20250507053245%2CUmai%3ACHAN%2F4492970%40BESTV.SMG.SMG%2C10001000243847%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C10000100000000060000000001128720_0%2CEND&VIP=null","1","1","0","1","0","","","","0","","","1","3","","","5539"
"374169162","央广购物HD","21","rtp://238.200.200.249:5540","1","7200","rtp://238.200.200.249:5540","http://10.223.3.189/PLTV/88888888/224/3221226040/10000100000000060000000002359348_0.smil/index.m3u8?fmt=ts2hls&rrsip=10.223.5.36&zoneoffset=480&servicetype=2&icpid=shlt&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7Eg8WET5y79v_MKWT2ZQSm8w%7E-NRBKqJPdnxqADZD8VbpoXil9ZAXP3uL2btehsePHQeGS4Hhhp6qJvqmc86pQJE0wWVIDsWGWl6v-MbUP27Am9WWWcOCr-jhz3292vq00eA%7EExtInfo24S_eFPZ-q3aI4rQpB83xQ%3A20250507053245%2C10500002582512%2C223.167.150.80%2C20250507053245%2CUmai%3ACHAN%2F6000099%40BESTV.SMG.SMG%2C10001000243847%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C10000100000000060000000002359348_0%2CEND&VIP=null","1","1","0","1","0","","","","0","","","1","0","","","5539"
"20000082","好享购物","24","rtp://238.200.200.220:5540","1","7200","rtp://238.200.200.220:5540","http://10.223.3.189/PLTV/88888888/224/3221225901/10000100000000060000000001580142_0.smil/index.m3u8?fmt=ts2hls&rrsip=10.223.5.36&zoneoffset=480&servicetype=2&icpid=shlt&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7EZ0r-qNl7MMR8VpFp-a81YQ%7E-NRBKqJPdnxqADZD8VbpoXil9ZAXP3uL2btehsePHQeGS4Hhhp6qJvqmc86pQJE0wWVIDsWGWl6v-MbUP27Am9WWWcOCr-jhz3292vq00eA%7EExtInfo24S_eFPZ-q3aI4rQpB83xQ%3A20250507053245%2C10500002582512%2C223.167.150.80%2C20250507053245%2CUmai%3ACHAN%2F1800368%40BESTV.SMG.SMG%2C10001000243847%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C10000100000000060000000001580142_0%2CEND&VIP=null","1","1","0","1","0","","","","0","","","1","3","","","5539"
"20000158","央广购物","27","rtp://238.200.200.223:5540","1","7200","rtp://238.200.200.223:5540","http://10.223.3.189/PLTV/88888888/224/3221225905/10000100000000060000000001588698_0.smil/index.m3u8?fmt=ts2hls&rrsip=10.223.5.36&zoneoffset=480&servicetype=2&icpid=shlt&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7EBnkgR4ZEZvnQbHw4Rvn6bQ%7E-NRBKqJPdnxqADZD8VbpoXil9ZAXP3uL2btehsePHQeGS4Hhhp6qJvqmc86pQJE0wWVIDsWGWl6v-MbUP27Am9WWWcOCr-jhz3292vq00eA%7EExtInfo24S_eFPZ-q3aI4rQpB83xQ%3A20250507053245%2C10500002582512%2C223.167.150.80%2C20250507053245%2CUmai%3ACHAN%2F1168794%40BESTV.SMG.SMG%2C10001000243847%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C10000100000000060000000001588698_0%2CEND&VIP=null","1","2","0","1","0","","","","0","","","1","3","","","5539"
"20000074","CCTV-1HD","41","rtp://238.200.200.133:5540","1","7200","rtp://238.200.200.133:5540","http://10.223.3.189/PLTV/88888888/224/3221225703/10000100000000060000000000035351_0.smil/index.m3u8?fmt=ts2hls&rrsip=10.223.5.36&zoneoffset=480&servicetype=2&icpid=shlt&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7Ep6OgLDvLzq6GN5uNV8rZ0g%7E-NRBKqJPdnxqADZD8VbpoXil9ZAXP3uL2btehsePHQeGS4Hhhp6qJvqmc86pQJE0wWVIDsWGWl6v-MbUP27Am9WWWcOCr-jhz3292vq00eA%7EExtInfo24S_eFPZ-q3aI4rQpB83xQ%3A20250507053245%2C10500002582512%2C223.167.150.80%2C20250507053245%2CUmai%3ACHAN%2F111128%40BESTV.SMG.SMG%2C10001000243847%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C10000100000000060000000000035351_0%2CEND&VIP=null","1","1","1","1","0","","","","0","","","1","3","","","5539"
